Bot Index,Bot Task,Bot,Human Label
0,ShakataBot,ShakataBot,Other
1,タチコマ robot,タチコマ robot,Interwiki
2,Topjabot~enwiki,Topjabot~enwiki,Other
3,WantedBot,WantedBot,Operational
4,Qwerfjkl (bot) 17,Qwerfjkl (bot),Task allocation
5,CVT-hater-bot,CVT-hater-bot,Other
6,PkbwcgsBot 13,PkbwcgsBot,Operational
7,Makecat-bot 3,Makecat-bot,Operational
8,John Bot II,John Bot II,Operational
9,SeveroBot,SeveroBot,Task division
10,Lightbot 10,Lightbot,Operational
11,TNTBot 4,TNTBot,Information provision
12,WikiCleanerBot 22,WikiCleanerBot,Operational
13,AstRoBot,AstRoBot,Operational
14,Citation bot 4,Citation bot,Operational
15,DownloadBot,DownloadBot,Other
16,Slowbot,Slowbot,Other
17,ChinaRailwayENGED,ChinaRailwayENGED,Task division
18,MelonBot 5,MelonBot,Information provision
19,A-lú-mih-bot,A-lú-mih-bot,Interwiki
20,BotMultichill 7,BotMultichill,Information provision
21,Pi bot 3,Pi bot,Task division
22,Citation bot 9,Citation bot,Operational
23,WOSlinkerBot 9,WOSlinkerBot,Operational
24,Beastie Bot,Beastie Bot,Task division
25,جواد,جواد,Other
26,DinoBot2 3,DinoBot2,Operational
27,SoxBot 21,SoxBot,Information provision
28,DipankanBot,DipankanBot,Exception management
29,RjwilmsiBot 8,RjwilmsiBot,Operational
30,BlackDemon2,BlackDemon2,Other
31,AnomieBOT 2,AnomieBOT,Task allocation
32,SoxBot II 3,SoxBot II,Information provision
33,BendelacBOT,BendelacBOT,Interwiki
34,IndentBot,IndentBot,Operational
35,Theo's Little Bot 6,Theo's Little Bot,Task division
36,Rschen7754bot 6,Rschen7754bot,Operational
37,Yobot 57,Yobot,Operational
38,MartinBotIII 6,MartinBotIII,Operational
39,WikiDreamer Bot,WikiDreamer Bot,Interwiki
40,AnomieBOT III 4,AnomieBOT III,Operational
41,SdkbBot 2,SdkbBot,Operational
42,DirlBot 3,DirlBot,Interwiki
43,DerBotvonI,DerBotvonI,Other
44,AnomieBOT,AnomieBOT,Operational
45,Commander Keane bot,Commander Keane bot,Operational
46,Yapperbot 2,Yapperbot,Operational
47,BJBot,BJBot,Operational
48,SoxBot 5,SoxBot,Task allocation
49,IdeoBot,IdeoBot,Other
50,Monkbot 9,Monkbot,Operational
51,WikiCleanerBot 18,WikiCleanerBot,Operational
52,PrimeBOT 5,PrimeBOT,Operational
53,B-bot 4,B-bot,Exception management
54,Theo's Little Bot 7,Theo's Little Bot,Task allocation
55,FACBot,FACBot,Information provision
56,Phe-bot,Phe-bot,Interwiki
57,VsBot,VsBot,Interwiki
58,SdkbBot,SdkbBot,Operational
59,Lightbot 13,Lightbot,Operational
60,WOSlinkerBot 3,WOSlinkerBot,Information provision
61,Dexbot 10,Dexbot,Operational
62,Petan-Bot 2,Petan-Bot,Information provision
63,SDPatrolBot 5,SDPatrolBot,Exception management
64,APersonBot 6,APersonBot,Information provision
65,ContinuityBot 3,ContinuityBot,Other
66,Aplikasi-Bot,Aplikasi-Bot,Other
67,Alaibot 3,Alaibot,Task division
68,Guoguo12Bot,Guoguo12Bot,Other
69,ZackBot 10,ZackBot,Operational
70,RileyBot 12,RileyBot,Task division
71,Dreamy Jazz Bot,Dreamy Jazz Bot,Information provision
72,GimmeBot 2,GimmeBot,Information provision
73,TolBot 5,TolBot,Other
74,BattyBot 22,BattyBot,Operational
75,LSG1-Bot,LSG1-Bot,Interwiki
76,AnomieBOT 58,AnomieBOT,Operational
77,Fettgesicht,Fettgesicht,Operational
78,VulpesBot,VulpesBot,Information provision
79,FastilyBot 6,FastilyBot,Information provision
80,JJMC89 bot 13,JJMC89 bot,Information provision
81,DatBot 5,DatBot,Operational
82,PrimeBOT 38,PrimeBOT,Operational
83,LivingBot 15,LivingBot,Information provision
84,BU RoBOT 8,BU RoBOT,Operational
85,DrilBot 3,DrilBot,Operational
86,FastilyBot 14,FastilyBot,Information provision
87,HiTeCBot,HiTeCBot,Task division
88,BattyBot 49,BattyBot,Operational
89,EjsBot,EjsBot,Interwiki
90,Yet Another Redirect Cleanup Bot,Yet Another Redirect Cleanup Bot,Operational
91,WikiCleanerBot 21,WikiCleanerBot,Operational
92,UrbanBot 2,UrbanBot,Operational
93,ListasBot 2,ListasBot,Operational
94,Botrie,Botrie,Other
95,UrbanBot,UrbanBot,Operational
96,KadaneBot 3,KadaneBot,Operational
97,William Avery Bot 2,William Avery Bot,Operational
98,UcuchaBot 3,UcuchaBot,Information provision
99,TuvicBot,TuvicBot,Interwiki
100,Snotbot 5,Snotbot,Operational
101,Pi bot 2,Pi bot,Operational
102,WugBot 2,WugBot,Information provision
103,TolBot 6,TolBot,Operational
104,Junsi22,Junsi22,Other
105,WarddrBOT 2,WarddrBOT,Other
106,Crypticbot,Crypticbot,Other
107,Adithyakbot,Adithyakbot,Operational
108,SmackBot 41,SmackBot,Information provision
109,STTWbot 2,STTWbot,Task allocation
110,AntiSpamBot,AntiSpamBot,Exception management
111,Mir Almaat 1 S1,Mir Almaat 1 S1,Other
112,Rtz-bot,Rtz-bot,Interwiki
113,DanielBot 2,DanielBot,Information provision
114,MetsBot 4,MetsBot,Operational
115,FastilyBot 10,FastilyBot,Information provision
116,WPPageListBot,WPPageListBot,Task allocation
117,Rick Bot 4,Rick Bot,Information provision
118,BOTijo 6,BOTijo,Operational
119,PoplLyricsBot,PoplLyricsBot,Operational
