Bot Index,gpt-4o-mini-2024-07-18
0,Other
1,Interwiki
2,Other
3,Operational
4,Information provision
5,Other
6,Operational
7,Operational
8,Operational
9,Task division
10,Operational
11,Operational
12,Operational
13,Operational
14,Operational
15,Other
16,Other
17,Operational
18,Other
19,Interwiki
20,Information provision
21,Task division
22,Operational
23,Operational
24,Operational
25,Other
26,Operational
27,Operational
28,Exception management
29,Operational
30,Other
31,Operational
32,Other
33,Interwiki
34,Operational
35,Task division
36,Operational
37,Operational
38,Operational
39,Interwiki
40,Operational
41,Operational
42,Interwiki
43,Other
44,Operational
45,Operational
46,Operational
47,Operational
48,Task allocation
49,Other
50,Operational
51,Operational
52,Operational
53,Exception management
54,Task allocation
55,Task division
56,Interwiki
57,Interwiki
58,Operational
59,Operational
60,Information provision
61,Operational
62,Information provision
63,Exception management
64,Information provision
65,Other
66,Other
67,Operational
68,Other
69,Operational
70,Operational
71,Operational
72,Operational
73,Operational
74,Operational
75,Interwiki
76,Operational
77,Operational
78,Operational
79,Information provision
80,Task allocation
81,Operational
82,Operational
83,Information provision
84,Operational
85,Operational
86,Information provision
87,Other
88,Operational
89,Interwiki
90,Operational
91,Operational
92,Operational
93,Operational
94,Other
95,Operational
96,Operational
97,Operational
98,Operational
99,Interwiki
100,Operational
101,Operational
102,Operational
103,Operational
104,Other
105,Operational
106,Other
107,Operational
108,Operational
109,Information provision
110,Exception management
111,Other
112,Interwiki
113,Operational
114,Operational
115,Operational
116,Task allocation
117,Task allocation
118,Operational
119,Operational
