Bot Index,Bot Task,Bot,gpt-4o-2024-11-20
0,"""Quote""bot","""Quote""bot",Other
1,$amSpadeBot,$amSpadeBot,Other
2,'zinbot,'zinbot,Exception management
3,((Bot)),((Bot)),Other
4,(1.VSNCT)Bot,(1.VSNCT)Bot,Other
5,.anacondabot,.anacondabot,Interwiki
6,0xDeadbeef,0xDeadbeef,Other
7,123Hedgebot456,123Hedgebot456,Operational
8,126Bot,126Bot,Other
9,1VeertjeBot,1VeertjeBot,Other
10,24Bot,24Bot,Task allocation
11,28bot 5,28bot,Information provision
12,28bot 3,28bot,Task division
13,28bot 2,28bot,Task division
14,28bot 4,28bot,Exception management
15,28bot,28bot,Exception management
16,3RRBot,3RRBot,Exception management
17,3SeriesBOT,3SeriesBOT,Other
18,4315Bot,4315Bot,Exception management
19,6zag,6zag,Information provision
20,6zagbot,6zagbot,Information provision
21,718 Bot,718 Bot,Information provision
22,718 Bot 2,718 Bot,Operational
23,7SeriesBOT 3,7SeriesBOT,Exception management
24,7SeriesBOT,7SeriesBOT,Exception management
25,7SeriesBOT 2,7SeriesBOT,Exception management
26,A bot called Bob,A bot called Bob,Other
27,A-lú-mih-bot,A-lú-mih-bot,Interwiki
28,A4bot,A4bot,Interwiki
29,AAlertBot,AAlertBot,Information provision
30,AAlertBot 2,AAlertBot,Task allocation
31,ABot,ABot,Other
32,ACBot,ACBot,Operational
33,ACBot 2,ACBot,Operational
34,AEBot,AEBot,Interwiki
35,AFC clerk bot,AFC clerk bot,Operational
36,AFCHBuddy,AFCHBuddy,Operational
37,AFCbot,AFCbot,Other
38,AFD Bot,AFD Bot,Information provision
39,AGbot,AGbot,Information provision
40,AHbot,AHbot,Interwiki
41,AIDbot,AIDbot,Other
42,AK Bot,AK Bot,Task division
43,AK Bot 2,AK Bot,Task allocation
44,AMABot,AMABot,Information provision
45,AMABot 2,AMABot,Operational
46,AMbot 2,AMbot,Task allocation
47,AMbot,AMbot,Task division
48,AP.BOT,AP.BOT,Operational
49,APersonBot 7,APersonBot,Operational
50,APersonBot 8,APersonBot,Operational
51,APersonBot,APersonBot,Operational
52,APersonBot 5,APersonBot,Information provision
53,APersonBot 6,APersonBot,Information provision
54,APersonBot 2,APersonBot,Information provision
55,APersonBot 3,APersonBot,Operational
56,APersonBot 9,APersonBot,Task division
57,APersonBot 4,APersonBot,Operational
58,ARSBot,ARSBot,Information provision
59,ARVBot,ARVBot,Exception management
60,ASammourBot,ASammourBot,Operational
61,AVBOT,AVBOT,Exception management
62,AVdiscuBOT,AVdiscuBOT,Operational
63,AWB - mass spelling fix,AWB - mass spelling fix,Operational
64,AWBCPBot,AWBCPBot,Operational
65,AWMBot 2,AWMBot,Operational
66,AWMBot,AWMBot,Operational
67,AWeenieBot,AWeenieBot,Information provision
68,AZPR,AZPR,Information provision
69,AZatBot,AZatBot,Interwiki
70,AZatBot~enwiki,AZatBot~enwiki,Interwiki
71,AarghBot,AarghBot,Information provision
72,Abotzi,Abotzi,Operational
73,AbuseBot,AbuseBot,Exception management
74,AccReqBot,AccReqBot,Operational
75,AccReqBot2,AccReqBot2,Other
76,Acebot,Acebot,Information provision
77,ActiveAdminBot,ActiveAdminBot,Information provision
78,AdambroBot,AdambroBot,Operational
79,AdambroBot 2,AdambroBot,Operational
80,Addbot 7,Addbot,Task allocation
81,Addbot 24,Addbot,Operational
82,Addbot 16,Addbot,Task allocation
83,Addbot 31,Addbot,Operational
84,Addbot 19,Addbot,Task allocation
85,Addbot 30,Addbot,Operational
86,Addbot 2,Addbot,Operational
87,Addbot 9,Addbot,Operational
